,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\5\\1.jpg'],-7.94,57,41,,1,,21,,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,57,84.0,,0,,,,,0.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,57,17111,,77777071,,,,,7.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,57,,,7,,9.1,,3,27.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,57,,,,,,,,11.0
0,['.\\sipaimages\\5\\14.jpg'],10.46,57,7,,11,,55113.11211,,,10.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,57,4,,77,0,,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,57,7,['.'],11,['.'],225511,,,1.0
0,['.\\sipaimages\\5\\17.jpg'],10.23,57,7,1,7,1,3555551419311041,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,57,18,,11,['.'],1,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,57,,,71,,21721711,171,,11.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,57,11,,,,5,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,57,171,,11,,511,7,,11.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,57,,,17,,211,,,14.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,57,,,11,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,57,11744,,11,,1118331,4,,11.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,57,,,,,,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,57,,,,,7634,,,0.0
0,['.\\sipaimages\\5\\26.jpg'],179.26,57,,,,,108121,775,,0.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,57,11,,10,,7,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,57,,,,,,,,7.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,57,,,,,71,,,11.0
0,['.\\sipaimages\\5\\5.jpg'],10.63,57,1,,81,,,,,81.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,57,1,,1,,31,5,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,57,9,,80,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,57,,,,,,,,0.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,57,,,,,114,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,58,1,,1,,121,,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,58,11.0,,98,,9761,,,4.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,58,4711,,777177,1,55514.1,,,24.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,58,774,,1,,777710.1,,1,7.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,58,,,,,22371.1211,,,17.0
0,['.\\sipaimages\\5\\14.jpg'],10.46,58,7,,11,,111,,0.1,111.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,58,227,,,,8.1,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,58,177,1,,,,,,1.0
0,['.\\sipaimages\\5\\17.jpg'],10.23,58,7,1,17,,953111211,,,10.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,58,,,,,121,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,58,,,21,,2.71211,1,,14.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,58,1,,,,188,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,58,171,,11,,,,,1.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,58,,,21,,91797,,,1.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,58,,,11,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,58,11744,,16,,811131,7,,10.4
0,['.\\sipaimages\\5\\24.jpg'],179.32,58,,,,,11133,135,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,58,,,,,7171,['.'],,
0,['.\\sipaimages\\5\\26.jpg'],179.26,58,,,,,,,,1.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,58,188,,11,['.'],2275,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,58,,,,,77,,,7.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,58,,,,,,,,111.0
0,['.\\sipaimages\\5\\5.jpg'],10.63,58,7,,781,,,,5,781.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,58,8,,1,,3.1381,,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,58,3,,1,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,58,,,,,,,,77.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,58,,,,,77,7,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,59,1,,1,,121,,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,59,11.0,,44,,7577261,,,444.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,59,471110.0,1,7777077,,5555547081.0,,,4.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,59,771,,,,57609.1,7,3,21.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,59,,,,,,,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,59,7,,11,,55511008.1,1,1,1.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,59,7,,,,,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,59,121,1,777,,7531,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,59,7,1,0,,111,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,59,1.7,,,,151,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,59,,,21,,,,,11411.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,59,101,,11,,8.27,['.'],,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,59,111,,0,,,,,1.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,59,,,1,,91,,,1.0
